transition_id,incident_id,recorded_at,from_status,to_status,actor,note,priority,source_module,business_domain
ARK-TRN-00024,ARK-INC-00046,2026-09-05T16:30:40.348Z,new,acknowledged,P. Lindt,"coil held before dispositioning, defect map printed",P3,gc10_detect,visual_inspection
ARK-TRN-00025,ARK-INC-00048,2026-09-05T16:42:38.464Z,new,false_positive,A. Novak,"section clean, part released to machining",P3,casting_cv,visual_inspection
ARK-TRN-00026,ARK-INC-00050,2026-09-05T16:42:38.650Z,new,false_positive,P. Lindt,"surface checked by eye, within specification",P3,neu_surface,visual_inspection
ARK-TRN-00027,ARK-INC-00051,2026-09-05T16:42:38.845Z,new,acknowledged,L. Fischer,manufacturer and component carried into the monthly review,P3,nhtsa_nlp,field_quality
ARK-TRN-00028,ARK-INC-00042,2026-09-05T16:51:23.282Z,resolved,closed,R. Ortiz,reviewed and closed by the Quality Manager,P1,scania_aps,fleet_reliability
ARK-TRN-00029,ARK-INC-00044,2026-09-05T16:51:23.469Z,acknowledged,resolved,L. Fischer,movement confirmed against warranty data and passed to engineering,P3,nhtsa_nlp,field_quality
ARK-TRN-00030,ARK-INC-00047,2026-09-05T17:13:40.572Z,in_containment,resolved,M. Brandt,"borescope confirmed HPC blade wear, module swapped and re-run",P2,cmapss_rul,asset_reliability
ARK-TRN-00031,ARK-INC-00043,2026-09-05T17:13:40.756Z,acknowledged,false_positive,A. Novak,"surface checked by eye, within specification",P3,neu_surface,visual_inspection
ARK-TRN-00032,ARK-INC-00044,2026-09-05T17:13:40.943Z,resolved,closed,R. Ortiz,reviewed and closed by the Quality Manager,P3,nhtsa_nlp,field_quality
ARK-TRN-00033,ARK-INC-00051,2026-09-05T17:22:54.323Z,acknowledged,resolved,L. Fischer,movement confirmed against warranty data and passed to engineering,P3,nhtsa_nlp,field_quality
ARK-TRN-00034,ARK-INC-00055,2026-09-05T17:27:02.161Z,new,acknowledged,A. Novak,"acknowledged from the cockpit form, part quarantined for QC",P3,casting_cv,visual_inspection
ARK-TRN-00035,ARK-INC-00046,2026-09-05T17:31:12.186Z,acknowledged,in_containment,P. Lindt,sheet marked and coil routed to the inspection bay,P3,gc10_detect,visual_inspection
ARK-TRN-00036,ARK-INC-00055,2026-09-05T17:31:12.383Z,acknowledged,false_positive,A. Novak,"section clean, part released to machining",P3,casting_cv,visual_inspection
ARK-TRN-00037,ARK-INC-00053,2026-09-05T17:42:39.889Z,new,acknowledged,A. Novak,"coil held before dispositioning, defect map printed",P3,gc10_detect,visual_inspection
ARK-TRN-00038,ARK-INC-00054,2026-09-05T17:42:40.066Z,new,acknowledged,D. Keller,"picked up by the maintenance planner, test log pulled",P3,cmapss_rul,asset_reliability
ARK-TRN-00039,ARK-INC-00056,2026-09-05T17:42:40.296Z,new,acknowledged,M. Sato,"truck held at the depot, workshop slot requested",P3,scania_aps,fleet_reliability
ARK-TRN-00040,ARK-INC-00047,2026-09-05T17:53:21.078Z,resolved,closed,R. Ortiz,reviewed and closed by the Quality Manager,P2,cmapss_rul,asset_reliability
ARK-TRN-00041,ARK-INC-00053,2026-09-05T17:53:21.279Z,acknowledged,in_containment,A. Novak,sheet marked and coil routed to the inspection bay,P3,gc10_detect,visual_inspection
ARK-TRN-00042,ARK-INC-00046,2026-09-05T18:02:16.570Z,in_containment,resolved,P. Lindt,"defect located on the sheet, coil downgraded and dispatched",P3,gc10_detect,visual_inspection
ARK-TRN-00043,ARK-INC-00051,2026-09-05T18:02:16.733Z,resolved,in_containment,L. Fischer,"containment did not hold, incident reopened",P3,nhtsa_nlp,field_quality
ARK-TRN-00044,ARK-INC-00054,2026-09-05T18:02:16.904Z,acknowledged,in_containment,D. Keller,engine taken off the test schedule pending borescope inspection,P3,cmapss_rul,asset_reliability
ARK-TRN-00045,ARK-INC-00059,2026-09-05T18:10:24.477Z,new,acknowledged,P. Lindt,component pulled from the line for a look under magnification,P2,mvtec_anomaly,visual_inspection
ARK-TRN-00046,ARK-INC-00046,2026-09-05T18:10:24.680Z,resolved,closed,R. Ortiz,reviewed and closed by the Quality Manager,P3,gc10_detect,visual_inspection
ARK-TRN-00047,ARK-INC-00051,2026-09-05T18:10:24.887Z,in_containment,resolved,L. Fischer,movement confirmed against warranty data and passed to engineering,P3,nhtsa_nlp,field_quality
ARK-TRN-00048,ARK-INC-00061,2026-09-05T18:21:13.304Z,new,acknowledged,D. Keller,"picked up by the maintenance planner, test log pulled",P1,cmapss_rul,asset_reliability
ARK-TRN-00049,ARK-INC-00051,2026-09-05T18:21:13.558Z,resolved,closed,R. Ortiz,reviewed and closed by the Quality Manager,P3,nhtsa_nlp,field_quality
ARK-TRN-00050,ARK-INC-00053,2026-09-05T18:21:13.737Z,in_containment,resolved,A. Novak,"defect located on the sheet, coil downgraded and dispatched",P3,gc10_detect,visual_inspection
ARK-TRN-00051,ARK-INC-00061,2026-09-05T18:30:48.273Z,acknowledged,false_positive,D. Keller,"inspection found the sensor drifted, no wear on the unit",P1,cmapss_rul,asset_reliability
ARK-TRN-00052,ARK-INC-00053,2026-09-05T18:30:48.467Z,resolved,closed,R. Ortiz,reviewed and closed by the Quality Manager,P3,gc10_detect,visual_inspection
ARK-TRN-00053,ARK-INC-00052,2026-09-05T18:42:45.076Z,new,acknowledged,A. Novak,component pulled from the line for a look under magnification,P2,mvtec_anomaly,visual_inspection
ARK-TRN-00054,ARK-INC-00056,2026-09-05T18:54:01.892Z,acknowledged,resolved,M. Sato,"air dryer cartridge replaced, road test passed",P3,scania_aps,fleet_reliability
ARK-TRN-00055,ARK-INC-00012,2026-09-05T18:55:09.043Z,new,false_positive,D. Keller,,P1,cmapss_rul,asset_reliability
ARK-TRN-00056,ARK-INC-00015,2026-09-05T18:55:24.287Z,new,acknowledged,D. Keller,,P2,cmapss_rul,asset_reliability
ARK-TRN-00057,ARK-INC-00056,2026-09-05T19:03:42.911Z,resolved,closed,R. Ortiz,reviewed and closed by the Quality Manager,P3,scania_aps,fleet_reliability
ARK-TRN-00058,ARK-INC-00062,2026-09-05T19:03:43.125Z,new,false_positive,P. Lindt,"section clean, part released to machining",P3,casting_cv,visual_inspection
ARK-TRN-00059,ARK-INC-00059,2026-09-05T19:15:39.257Z,acknowledged,in_containment,P. Lindt,lot held pending inspection of the flagged component,P2,mvtec_anomaly,visual_inspection
ARK-TRN-00060,ARK-INC-00052,2026-09-05T19:27:14.348Z,acknowledged,resolved,A. Novak,"defect confirmed on the component, part scrapped and lot released",P2,mvtec_anomaly,visual_inspection
ARK-TRN-00061,ARK-INC-00058,2026-09-05T19:27:14.555Z,new,acknowledged,L. Fischer,manufacturer and component carried into the monthly review,P3,nhtsa_nlp,field_quality
ARK-TRN-00062,ARK-INC-00060,2026-09-05T19:27:14.810Z,new,acknowledged,A. Novak,"coil held before dispositioning, defect map printed",P3,gc10_detect,visual_inspection
ARK-TRN-00063,ARK-INC-00068,2026-09-05T19:38:49.970Z,new,acknowledged,M. Brandt,"picked up by the maintenance planner, test log pulled",P1,cmapss_rul,asset_reliability
ARK-TRN-00064,ARK-INC-00067,2026-09-05T19:38:50.403Z,new,acknowledged,P. Lindt,"coil held before dispositioning, defect map printed",P2,gc10_detect,visual_inspection
ARK-TRN-00065,ARK-INC-00052,2026-09-05T19:38:50.589Z,resolved,closed,R. Ortiz,reviewed and closed by the Quality Manager,P2,mvtec_anomaly,visual_inspection
ARK-TRN-00066,ARK-INC-00066,2026-09-05T19:48:49.040Z,new,acknowledged,P. Lindt,component pulled from the line for a look under magnification,P2,mvtec_anomaly,visual_inspection
ARK-TRN-00067,ARK-INC-00069,2026-09-05T19:48:49.247Z,new,acknowledged,P. Lindt,impeller quarantined for QC decision,P3,casting_cv,visual_inspection
ARK-TRN-00068,ARK-INC-00065,2026-09-05T19:59:41.427Z,new,acknowledged,L. Fischer,manufacturer and component carried into the monthly review,P2,nhtsa_nlp,field_quality
ARK-TRN-00069,ARK-INC-00068,2026-09-05T19:59:41.605Z,acknowledged,in_containment,M. Brandt,engine taken off the test schedule pending borescope inspection,P1,cmapss_rul,asset_reliability
ARK-TRN-00070,ARK-INC-00049,2026-09-05T19:59:41.791Z,new,acknowledged,M. Sato,"truck held at the depot, workshop slot requested",P3,scania_aps,fleet_reliability
ARK-TRN-00071,ARK-INC-00068,2026-09-05T20:08:21.325Z,in_containment,resolved,M. Brandt,"borescope confirmed HPC blade wear, module swapped and re-run",P1,cmapss_rul,asset_reliability
ARK-TRN-00072,ARK-INC-00049,2026-09-05T20:08:21.661Z,acknowledged,in_containment,M. Sato,APS compressor and dryer under inspection at the workshop,P3,scania_aps,fleet_reliability
ARK-TRN-00073,ARK-INC-00058,2026-09-05T20:08:22.005Z,acknowledged,in_containment,L. Fischer,"complaint sample read, fleet data requested from the OEM",P3,nhtsa_nlp,field_quality
ARK-TRN-00074,ARK-INC-00066,2026-09-05T20:19:11.190Z,acknowledged,in_containment,P. Lindt,lot held pending inspection of the flagged component,P2,mvtec_anomaly,visual_inspection
ARK-TRN-00075,ARK-INC-00067,2026-09-05T20:19:11.390Z,acknowledged,in_containment,P. Lindt,sheet marked and coil routed to the inspection bay,P2,gc10_detect,visual_inspection
ARK-TRN-00076,ARK-INC-00054,2026-09-05T20:19:11.579Z,in_containment,resolved,D. Keller,"borescope confirmed HPC blade wear, module swapped and re-run",P3,cmapss_rul,asset_reliability
ARK-TRN-00077,ARK-INC-00068,2026-09-05T20:29:01.094Z,resolved,closed,R. Ortiz,reviewed and closed by the Quality Manager,P1,cmapss_rul,asset_reliability
ARK-TRN-00078,ARK-INC-00065,2026-09-05T20:29:01.314Z,acknowledged,resolved,L. Fischer,movement confirmed against warranty data and passed to engineering,P2,nhtsa_nlp,field_quality
ARK-TRN-00079,ARK-INC-00066,2026-09-05T20:29:01.505Z,in_containment,resolved,P. Lindt,"defect confirmed on the component, part scrapped and lot released",P2,mvtec_anomaly,visual_inspection
ARK-TRN-00080,ARK-INC-00073,2026-09-05T20:39:38.831Z,new,acknowledged,A. Novak,component pulled from the line for a look under magnification,P2,mvtec_anomaly,visual_inspection
ARK-TRN-00081,ARK-INC-00066,2026-09-05T20:39:39.056Z,resolved,closed,R. Ortiz,reviewed and closed by the Quality Manager,P2,mvtec_anomaly,visual_inspection
ARK-TRN-00082,ARK-INC-00067,2026-09-05T20:39:39.252Z,in_containment,resolved,P. Lindt,"defect located on the sheet, coil downgraded and dispatched",P2,gc10_detect,visual_inspection
ARK-TRN-00083,ARK-INC-00063,2026-09-05T20:50:57.698Z,new,acknowledged,M. Sato,"truck held at the depot, workshop slot requested",P2,scania_aps,fleet_reliability
ARK-TRN-00084,ARK-INC-00065,2026-09-05T20:50:57.941Z,resolved,closed,R. Ortiz,reviewed and closed by the Quality Manager,P2,nhtsa_nlp,field_quality
ARK-TRN-00085,ARK-INC-00073,2026-09-05T20:50:58.138Z,acknowledged,in_containment,A. Novak,lot held pending inspection of the flagged component,P2,mvtec_anomaly,visual_inspection
ARK-TRN-00086,ARK-INC-00059,2026-09-05T21:01:24.072Z,in_containment,resolved,P. Lindt,"defect confirmed on the component, part scrapped and lot released",P2,mvtec_anomaly,visual_inspection
ARK-TRN-00087,ARK-INC-00063,2026-09-05T21:01:24.335Z,acknowledged,resolved,M. Sato,"air dryer cartridge replaced, road test passed",P2,scania_aps,fleet_reliability
ARK-TRN-00088,ARK-INC-00058,2026-09-05T21:01:24.558Z,in_containment,resolved,L. Fischer,movement confirmed against warranty data and passed to engineering,P3,nhtsa_nlp,field_quality
ARK-TRN-00089,ARK-INC-00063,2026-09-05T21:10:45.274Z,resolved,closed,R. Ortiz,reviewed and closed by the Quality Manager,P2,scania_aps,fleet_reliability
ARK-TRN-00090,ARK-INC-00073,2026-09-05T21:10:45.471Z,in_containment,resolved,A. Novak,"defect confirmed on the component, part scrapped and lot released",P2,mvtec_anomaly,visual_inspection
ARK-TRN-00091,ARK-INC-00054,2026-09-05T21:10:45.659Z,resolved,closed,R. Ortiz,reviewed and closed by the Quality Manager,P3,cmapss_rul,asset_reliability
ARK-TRN-00092,ARK-INC-00073,2026-09-05T21:19:57.215Z,resolved,closed,R. Ortiz,reviewed and closed by the Quality Manager,P2,mvtec_anomaly,visual_inspection
ARK-TRN-00093,ARK-INC-00058,2026-09-05T21:19:57.458Z,resolved,closed,R. Ortiz,reviewed and closed by the Quality Manager,P3,nhtsa_nlp,field_quality
ARK-TRN-00094,ARK-INC-00064,2026-09-05T21:19:57.645Z,new,acknowledged,A. Novak,"coil flagged at the mill, strip sample taken",P3,neu_surface,visual_inspection
ARK-TRN-00095,ARK-INC-00060,2026-09-05T21:29:40.809Z,acknowledged,in_containment,A. Novak,sheet marked and coil routed to the inspection bay,P3,gc10_detect,visual_inspection
ARK-TRN-00096,ARK-INC-00069,2026-09-05T21:29:40.993Z,acknowledged,in_containment,P. Lindt,casting sectioned for porosity check,P3,casting_cv,visual_inspection
ARK-TRN-00097,ARK-INC-00071,2026-09-05T21:29:41.275Z,new,false_positive,A. Novak,"surface checked by eye, within specification",P3,neu_surface,visual_inspection
ARK-TRN-00098,ARK-INC-00080,2026-09-05T21:39:25.704Z,new,acknowledged,P. Lindt,component pulled from the line for a look under magnification,P2,mvtec_anomaly,visual_inspection
ARK-TRN-00099,ARK-INC-00060,2026-09-05T21:39:25.889Z,in_containment,resolved,A. Novak,"defect located on the sheet, coil downgraded and dispatched",P3,gc10_detect,visual_inspection
ARK-TRN-00100,ARK-INC-00064,2026-09-05T21:39:26.095Z,acknowledged,in_containment,A. Novak,coil held for surface inspection by eye,P3,neu_surface,visual_inspection
ARK-TRN-00101,ARK-INC-00059,2026-09-05T21:50:42.907Z,resolved,closed,R. Ortiz,reviewed and closed by the Quality Manager,P2,mvtec_anomaly,visual_inspection
ARK-TRN-00102,ARK-INC-00080,2026-09-05T21:50:43.143Z,acknowledged,resolved,P. Lindt,"defect confirmed on the component, part scrapped and lot released",P2,mvtec_anomaly,visual_inspection
ARK-TRN-00103,ARK-INC-00049,2026-09-05T21:50:43.489Z,in_containment,resolved,M. Sato,"air dryer cartridge replaced, road test passed",P3,scania_aps,fleet_reliability
ARK-TRN-00104,ARK-INC-00079,2026-09-05T21:59:30.392Z,new,acknowledged,L. Fischer,manufacturer and component carried into the monthly review,P2,nhtsa_nlp,field_quality
ARK-TRN-00105,ARK-INC-00069,2026-09-05T21:59:30.706Z,in_containment,resolved,P. Lindt,"porosity confirmed, part scrapped and batch logged",P3,casting_cv,visual_inspection
ARK-TRN-00106,ARK-INC-00072,2026-09-05T21:59:30.900Z,new,acknowledged,L. Fischer,manufacturer and component carried into the monthly review,P3,nhtsa_nlp,field_quality
ARK-TRN-00107,ARK-INC-00082,2026-09-05T22:08:59.639Z,new,acknowledged,D. Keller,"picked up by the maintenance planner, test log pulled",P2,cmapss_rul,asset_reliability
ARK-TRN-00108,ARK-INC-00064,2026-09-05T22:08:59.842Z,in_containment,resolved,A. Novak,"defect confirmed, affected length trimmed and coil downgraded",P3,neu_surface,visual_inspection
ARK-TRN-00109,ARK-INC-00075,2026-09-05T22:09:00.039Z,new,acknowledged,M. Brandt,"picked up by the maintenance planner, test log pulled",P3,cmapss_rul,asset_reliability
ARK-TRN-00110,ARK-INC-00079,2026-09-05T22:18:45.010Z,acknowledged,resolved,L. Fischer,movement confirmed against warranty data and passed to engineering,P2,nhtsa_nlp,field_quality
ARK-TRN-00111,ARK-INC-00082,2026-09-05T22:18:45.316Z,acknowledged,false_positive,D. Keller,"inspection found the sensor drifted, no wear on the unit",P2,cmapss_rul,asset_reliability
ARK-TRN-00112,ARK-INC-00060,2026-09-05T22:18:45.607Z,resolved,closed,R. Ortiz,reviewed and closed by the Quality Manager,P3,gc10_detect,visual_inspection
ARK-TRN-00113,ARK-INC-00067,2026-09-05T22:28:27.697Z,resolved,closed,R. Ortiz,reviewed and closed by the Quality Manager,P2,gc10_detect,visual_inspection
ARK-TRN-00114,ARK-INC-00049,2026-09-05T22:28:27.896Z,resolved,closed,R. Ortiz,reviewed and closed by the Quality Manager,P3,scania_aps,fleet_reliability
ARK-TRN-00115,ARK-INC-00057,2026-09-05T22:28:28.093Z,new,acknowledged,P. Lindt,"coil flagged at the mill, strip sample taken",P3,neu_surface,visual_inspection
ARK-TRN-00116,ARK-INC-00074,2026-09-05T22:37:50.112Z,new,acknowledged,P. Lindt,"coil held before dispositioning, defect map printed",P3,gc10_detect,visual_inspection
ARK-TRN-00117,ARK-INC-00080,2026-09-05T22:49:23.766Z,resolved,closed,R. Ortiz,reviewed and closed by the Quality Manager,P2,mvtec_anomaly,visual_inspection
ARK-TRN-00118,ARK-INC-00064,2026-09-05T22:49:24.028Z,resolved,closed,R. Ortiz,reviewed and closed by the Quality Manager,P3,neu_surface,visual_inspection
ARK-TRN-00119,ARK-INC-00074,2026-09-05T22:49:24.218Z,acknowledged,in_containment,P. Lindt,sheet marked and coil routed to the inspection bay,P3,gc10_detect,visual_inspection
ARK-TRN-00120,ARK-INC-00087,2026-09-05T23:01:10.089Z,new,acknowledged,A. Novak,component pulled from the line for a look under magnification,P2,mvtec_anomaly,visual_inspection
ARK-TRN-00121,ARK-INC-00072,2026-09-05T23:01:10.504Z,acknowledged,false_positive,L. Fischer,"reporting change at the OEM explains the movement, no fleet issue",P3,nhtsa_nlp,field_quality
ARK-TRN-00122,ARK-INC-00088,2026-09-05T23:01:10.877Z,new,acknowledged,P. Lindt,"coil held before dispositioning, defect map printed",P3,gc10_detect,visual_inspection
ARK-TRN-00123,ARK-INC-00089,2026-09-05T23:11:46.974Z,new,acknowledged,D. Keller,"picked up by the maintenance planner, test log pulled",P1,cmapss_rul,asset_reliability
ARK-TRN-00124,ARK-INC-00057,2026-09-05T23:11:47.170Z,acknowledged,in_containment,P. Lindt,coil held for surface inspection by eye,P3,neu_surface,visual_inspection
ARK-TRN-00125,ARK-INC-00074,2026-09-05T23:11:47.389Z,in_containment,resolved,P. Lindt,"defect located on the sheet, coil downgraded and dispatched",P3,gc10_detect,visual_inspection
ARK-TRN-00126,ARK-INC-00089,2026-09-05T23:22:31.169Z,acknowledged,in_containment,D. Keller,engine taken off the test schedule pending borescope inspection,P1,cmapss_rul,asset_reliability
ARK-TRN-00127,ARK-INC-00079,2026-09-05T23:22:31.392Z,resolved,closed,R. Ortiz,reviewed and closed by the Quality Manager,P2,nhtsa_nlp,field_quality
ARK-TRN-00128,ARK-INC-00069,2026-09-05T23:22:31.622Z,resolved,closed,R. Ortiz,reviewed and closed by the Quality Manager,P3,casting_cv,visual_inspection
ARK-TRN-00129,ARK-INC-00070,2026-09-05T23:32:03.952Z,new,false_positive,M. Sato,"pressure test within specification, truck released",P3,scania_aps,fleet_reliability
ARK-TRN-00130,ARK-INC-00074,2026-09-05T23:32:04.168Z,resolved,closed,R. Ortiz,reviewed and closed by the Quality Manager,P3,gc10_detect,visual_inspection
ARK-TRN-00131,ARK-INC-00078,2026-09-05T23:32:04.421Z,new,acknowledged,P. Lindt,"coil flagged at the mill, strip sample taken",P3,neu_surface,visual_inspection
ARK-TRN-00132,ARK-INC-00089,2026-09-05T23:41:10.945Z,in_containment,resolved,D. Keller,"borescope confirmed HPC blade wear, module swapped and re-run",P1,cmapss_rul,asset_reliability
ARK-TRN-00133,ARK-INC-00087,2026-09-05T23:41:11.134Z,acknowledged,in_containment,A. Novak,lot held pending inspection of the flagged component,P2,mvtec_anomaly,visual_inspection
ARK-TRN-00134,ARK-INC-00075,2026-09-05T23:41:11.319Z,acknowledged,resolved,M. Brandt,"borescope confirmed HPC blade wear, module swapped and re-run",P3,cmapss_rul,asset_reliability
ARK-TRN-00135,ARK-INC-00083,2026-09-05T23:52:38.093Z,new,false_positive,P. Lindt,"section clean, part released to machining",P3,casting_cv,visual_inspection
ARK-TRN-00136,ARK-INC-00084,2026-09-05T23:52:38.299Z,new,acknowledged,M. Sato,"truck held at the depot, workshop slot requested",P3,scania_aps,fleet_reliability
ARK-TRN-00137,ARK-INC-00085,2026-09-05T23:52:38.483Z,new,acknowledged,A. Novak,"coil flagged at the mill, strip sample taken",P3,neu_surface,visual_inspection
ARK-TRN-00138,ARK-INC-00089,2026-09-06T00:02:35.107Z,resolved,closed,R. Ortiz,reviewed and closed by the Quality Manager,P1,cmapss_rul,asset_reliability
ARK-TRN-00139,ARK-INC-00075,2026-09-06T00:02:35.301Z,resolved,closed,R. Ortiz,reviewed and closed by the Quality Manager,P3,cmapss_rul,asset_reliability
ARK-TRN-00140,ARK-INC-00078,2026-09-06T00:02:35.519Z,acknowledged,resolved,P. Lindt,"defect confirmed, affected length trimmed and coil downgraded",P3,neu_surface,visual_inspection
ARK-TRN-00141,ARK-INC-00057,2026-09-06T00:12:30.138Z,in_containment,resolved,P. Lindt,"defect confirmed, affected length trimmed and coil downgraded",P3,neu_surface,visual_inspection
ARK-TRN-00142,ARK-INC-00084,2026-09-06T00:12:30.389Z,acknowledged,false_positive,M. Sato,"pressure test within specification, truck released",P3,scania_aps,fleet_reliability
ARK-TRN-00143,ARK-INC-00091,2026-09-06T00:12:30.657Z,new,acknowledged,J. Winter,"truck held at the depot, workshop slot requested",P3,scania_aps,fleet_reliability
ARK-TRN-00144,ARK-INC-00088,2026-09-06T00:24:16.018Z,acknowledged,false_positive,P. Lindt,"no defect at the located position, coil dispositioned as prime",P3,gc10_detect,visual_inspection
ARK-TRN-00145,ARK-INC-00093,2026-09-06T00:24:16.219Z,new,acknowledged,L. Fischer,manufacturer and component carried into the monthly review,P3,nhtsa_nlp,field_quality
ARK-TRN-00146,ARK-INC-00094,2026-09-06T00:33:20.642Z,new,acknowledged,P. Lindt,component pulled from the line for a look under magnification,P2,mvtec_anomaly,visual_inspection
ARK-TRN-00147,ARK-INC-00087,2026-09-06T00:33:20.865Z,in_containment,resolved,A. Novak,"defect confirmed on the component, part scrapped and lot released",P2,mvtec_anomaly,visual_inspection
ARK-TRN-00148,ARK-INC-00057,2026-09-06T00:33:21.066Z,resolved,closed,R. Ortiz,reviewed and closed by the Quality Manager,P3,neu_surface,visual_inspection
ARK-TRN-00149,ARK-INC-00098,2026-09-06T00:42:12.934Z,new,acknowledged,J. Winter,"truck held at the depot, workshop slot requested",P1,scania_aps,fleet_reliability
ARK-TRN-00150,ARK-INC-00087,2026-09-06T00:42:13.163Z,resolved,closed,R. Ortiz,reviewed and closed by the Quality Manager,P2,mvtec_anomaly,visual_inspection
ARK-TRN-00151,ARK-INC-00094,2026-09-06T00:42:13.471Z,acknowledged,resolved,P. Lindt,"defect confirmed on the component, part scrapped and lot released",P2,mvtec_anomaly,visual_inspection
ARK-TRN-00152,ARK-INC-00094,2026-09-06T00:52:30.445Z,resolved,closed,R. Ortiz,reviewed and closed by the Quality Manager,P2,mvtec_anomaly,visual_inspection
ARK-TRN-00153,ARK-INC-00085,2026-09-06T00:52:30.671Z,acknowledged,false_positive,A. Novak,"surface checked by eye, within specification",P3,neu_surface,visual_inspection
ARK-TRN-00154,ARK-INC-00099,2026-09-06T00:52:30.923Z,new,false_positive,P. Lindt,"surface checked by eye, within specification",P3,neu_surface,visual_inspection
ARK-TRN-00155,ARK-INC-00091,2026-09-06T01:02:49.126Z,acknowledged,in_containment,J. Winter,APS compressor and dryer under inspection at the workshop,P3,scania_aps,fleet_reliability
ARK-TRN-00156,ARK-INC-00093,2026-09-06T01:02:49.333Z,acknowledged,in_containment,L. Fischer,"complaint sample read, fleet data requested from the OEM",P3,nhtsa_nlp,field_quality
ARK-TRN-00157,ARK-INC-00096,2026-09-06T01:02:49.532Z,new,acknowledged,D. Keller,"picked up by the maintenance planner, test log pulled",P3,cmapss_rul,asset_reliability
